Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-03 10:40:00,8.166666666666666
2009-Jan-03 10:50:00,8.283333333333333
2009-Jan-03 11:00:00,8.4
2009-Jan-03 11:10:00,8.416666666666668
2009-Jan-03 11:20:00,8.433333333333334
2009-Jan-03 11:30:00,8.45
2009-Jan-03 11:40:00,8.466666666666667
2009-Jan-03 11:50:00,8.483333333333334
2009-Jan-03 12:00:00,8.5
2009-Jan-03 12:10:00,8.116666666666667
2009-Jan-03 12:20:00,7.733333333333333
2009-Jan-03 12:30:00,7.35
2009-Jan-03 12:40:00,6.966666666666667
2009-Jan-03 12:50:00,6.583333333333333
2009-Jan-03 13:00:00,6.2
2009-Jan-03 13:10:00,6.383333333333334
2009-Jan-03 13:20:00,6.566666666666666
2009-Jan-03 13:30:00,6.75
2009-Jan-03 13:40:00,6.933333333333334
2009-Jan-03 13:50:00,7.116666666666666
2009-Jan-03 14:00:00,7.3
2009-Jan-03 14:10:00,7.316666666666666
2009-Jan-03 14:20:00,7.333333333333334
2009-Jan-03 14:30:00,7.35
2009-Jan-03 14:40:00,7.366666666666667
2009-Jan-03 14:50:00,7.383333333333333
2009-Jan-03 15:00:00,7.4
2009-Jan-03 15:10:00,7.300000000000001
2009-Jan-03 15:20:00,7.200000000000001
2009-Jan-03 15:30:00,7.1
2009-Jan-03 15:40:00,7.0
2009-Jan-03 15:50:00,6.9
2009-Jan-03 16:00:00,6.8
2009-Jan-03 16:10:00,6.666666666666667
2009-Jan-03 16:20:00,6.533333333333334
2009-Jan-03 16:30:00,6.4
2009-Jan-03 16:40:00,6.2666666666666675
2009-Jan-03 16:50:00,6.133333333333333
2009-Jan-03 17:00:00,6.0
2009-Jan-03 17:10:00,5.9
2009-Jan-03 17:20:00,5.8
2009-Jan-03 17:30:00,5.7
2009-Jan-03 17:40:00,5.6
2009-Jan-03 17:50:00,5.500000000000001
2009-Jan-03 18:00:00,5.4
2009-Jan-03 18:10:00,5.216666666666668
2009-Jan-03 18:20:00,5.033333333333333
2009-Jan-03 18:30:00,4.85
2009-Jan-03 18:40:00,4.666666666666666
2009-Jan-03 18:50:00,4.483333333333333
2009-Jan-03 19:00:00,4.3
2009-Jan-03 19:10:00,4.233333333333333
2009-Jan-03 19:20:00,4.166666666666666
2009-Jan-03 19:30:00,4.1
2009-Jan-03 19:40:00,4.033333333333333
2009-Jan-03 19:50:00,3.9666666666666663
2009-Jan-03 20:00:00,3.9
2009-Jan-03 20:10:00,3.8833333333333333
2009-Jan-03 20:20:00,3.8666666666666667
2009-Jan-03 20:30:00,3.8499999999999996
2009-Jan-03 20:40:00,3.833333333333333
2009-Jan-03 20:50:00,3.8166666666666664
2009-Jan-03 21:00:00,3.8
2009-Jan-03 21:10:00,3.8166666666666664
2009-Jan-03 21:20:00,3.8333333333333335
2009-Jan-03 21:30:00,3.8499999999999996
2009-Jan-03 21:40:00,3.8666666666666663
2009-Jan-03 21:50:00,3.8833333333333333
2009-Jan-03 22:00:00,3.9
2009-Jan-03 22:10:00,3.9
2009-Jan-03 22:20:00,3.9
2009-Jan-03 22:30:00,3.9
2009-Jan-03 22:40:00,3.8999999999999995
2009-Jan-03 22:50:00,3.9
2009-Jan-03 23:00:00,3.9
2009-Jan-03 23:10:00,3.9166666666666665
2009-Jan-03 23:20:00,3.9333333333333336
2009-Jan-03 23:30:00,3.95
2009-Jan-03 23:40:00,3.966666666666667
2009-Jan-03 23:50:00,3.9833333333333334
2009-Jan-04 00:00:00,4.0
2009-Jan-04 00:10:00,4.033333333333333
2009-Jan-04 00:20:00,4.066666666666666
2009-Jan-04 00:30:00,4.1
2009-Jan-04 00:40:00,4.133333333333333
2009-Jan-04 00:50:00,4.166666666666667
