Zone Timestep,THERMAL ZONE 1:Zone Ventilation Mass Flow Rate[kg/s]
2009-Jan-03 13:50:00,0.3043152305786577
2009-Jan-03 14:00:00,0.3036544752138717
2009-Jan-03 14:10:00,0.3042406763030021
2009-Jan-03 14:20:00,0.3045586867496768
2009-Jan-03 14:30:00,0.30462407625045385
2009-Jan-03 14:40:00,0.304557256441198
2009-Jan-03 14:50:00,0.3044182636136394
2009-Jan-03 15:00:00,0.30431925272731625
2009-Jan-03 15:10:00,0.2991108064054156
2009-Jan-03 15:20:00,0.29400392057670205
2009-Jan-03 15:30:00,0.2890137305413134
2009-Jan-03 15:40:00,0.2840753536209067
2009-Jan-03 15:50:00,0.27914950282036133
2009-Jan-03 16:00:00,0.2742303546721002
2009-Jan-03 16:10:00,0.2776128540393281
2009-Jan-03 16:20:00,0.2805009166461749
2009-Jan-03 16:30:00,0.2829499977817442
2009-Jan-03 16:40:00,0.2852444644765408
2009-Jan-03 16:50:00,0.28754631297470074
2009-Jan-03 17:00:00,0.2898700921438613
2009-Jan-03 17:10:00,0.2928026886224664
2009-Jan-03 17:20:00,0.2945729648727732
2009-Jan-03 17:30:00,0.29627202904629013
2009-Jan-03 17:40:00,0.2986293916705314
2009-Jan-03 17:50:00,0.30149499548453457
2009-Jan-03 18:00:00,0.30449997345575447
2009-Jan-03 18:10:00,0.3016412350743754
2009-Jan-03 18:20:00,0.2978719678641483
2009-Jan-03 18:30:00,0.2953797076502041
2009-Jan-03 18:40:00,0.29277234318245166
2009-Jan-03 18:50:00,0.29075906130006596
2009-Jan-03 19:00:00,0.2888934529483416
2009-Jan-03 19:10:00,0.28794930027617355
2009-Jan-03 19:20:00,0.2870618030906681
2009-Jan-03 19:30:00,0.2862819454953795
2009-Jan-03 19:40:00,0.2855638488440483
2009-Jan-03 19:50:00,0.28485671460738254
2009-Jan-03 20:00:00,0.2841446436965384
2009-Jan-03 20:10:00,0.2879397440209335
2009-Jan-03 20:20:00,0.2902041866268026
2009-Jan-03 20:30:00,0.29251816460423674
2009-Jan-03 20:40:00,0.29561865483659405
2009-Jan-03 20:50:00,0.2991816102221217
2009-Jan-03 21:00:00,0.30276169099794564
2009-Jan-03 21:10:00,0.30008895031406296
2009-Jan-03 21:20:00,0.2977319522462706
2009-Jan-03 21:30:00,0.29570160256940475
2009-Jan-03 21:40:00,0.2937908730593266
2009-Jan-03 21:50:00,0.29187171209935225
2009-Jan-03 22:00:00,0.2899321709236
2009-Jan-03 22:10:00,0.2931155992966985
2009-Jan-03 22:20:00,0.29300966426949926
2009-Jan-03 22:30:00,0.29569617715006746
2009-Jan-03 22:40:00,0.2990362068454114
2009-Jan-03 22:50:00,0.30299390080283634
2009-Jan-03 23:00:00,0.30682661664266503
2009-Jan-03 23:10:00,0.30400640587381905
2009-Jan-03 23:20:00,0.30127226570652826
2009-Jan-03 23:30:00,0.29887760043931133
2009-Jan-03 23:40:00,0.29669509151644874
2009-Jan-03 23:50:00,0.29455121162488607
2009-Jan-04 00:00:00,0.2923870191436729
2009-Jan-04 00:10:00,0.291263204659605
2009-Jan-04 00:20:00,0.2900583332551632
2009-Jan-04 00:30:00,0.288863394830576
2009-Jan-04 00:40:00,0.28754160481517593
2009-Jan-04 00:50:00,0.28626263964653603
2009-Jan-04 01:00:00,0.2850894037587295
2009-Jan-04 01:10:00,0.2946141879213689
2009-Jan-04 01:20:00,0.30360788073269335
2009-Jan-04 01:30:00,0.3121558023577587
2009-Jan-04 01:40:00,0.32060200545958073
2009-Jan-04 01:50:00,0.32927328283840646
2009-Jan-04 02:00:00,0.3379930387227312
2009-Jan-04 02:10:00,0.3333854155266468
2009-Jan-04 02:20:00,0.32924041274815313
2009-Jan-04 02:30:00,0.32549885851932475
2009-Jan-04 02:40:00,0.32186634744839737
2009-Jan-04 02:50:00,0.31819501766089087
2009-Jan-04 03:00:00,0.31449031450545717
2009-Jan-04 03:10:00,0.3095750522454106
2009-Jan-04 03:20:00,0.3045655935934621
2009-Jan-04 03:30:00,0.29947827287280226
2009-Jan-04 03:40:00,0.29437610595530966
2009-Jan-04 03:50:00,0.28929157378951437
2009-Jan-04 04:00:00,0.28422396400203925
2009-Jan-04 04:10:00,0.284840762530601
2009-Jan-04 04:20:00,0.2852864672742145
2009-Jan-04 04:30:00,0.2855886308762557
2009-Jan-04 04:40:00,0.2858519004838353
2009-Jan-04 04:50:00,0.28612891843307836
2009-Jan-04 05:00:00,0.28641783351420974
2009-Jan-04 05:10:00,0.2903897651837504
2009-Jan-04 05:20:00,0.29441032763549296
2009-Jan-04 05:30:00,0.2983255222109457
2009-Jan-04 05:40:00,0.3021334465996309
2009-Jan-04 05:50:00,0.3059074843383575
2009-Jan-04 06:00:00,0.30969175202598215
2009-Jan-04 06:10:00,0.3082570472476392
2009-Jan-04 06:20:00,0.309081540882194
2009-Jan-04 06:30:00,0.30980988668348997
2009-Jan-04 06:40:00,0.3094208446769588
2009-Jan-04 06:50:00,0.308387260384862
2009-Jan-04 07:00:00,0.3073349995119816
2009-Jan-04 07:10:00,0.30911466529579856
2009-Jan-04 07:20:00,0.3116570884214385
2009-Jan-04 07:30:00,0.3140041747725939
2009-Jan-04 07:40:00,0.31584210048427563
2009-Jan-04 07:50:00,0.3174271230172432
2009-Jan-04 08:00:00,0.3190207389454271
2009-Jan-04 08:10:00,0.3248461262356474
2009-Jan-04 08:20:00,0.33409097509738594
2009-Jan-04 08:30:00,0.33988542728208415
2009-Jan-04 08:40:00,0.34463884588468713
2009-Jan-04 08:50:00,0.3481200805233191
2009-Jan-04 09:00:00,0.35163839267006874
2009-Jan-04 09:10:00,0.34721893182456903
2009-Jan-04 09:20:00,0.34355401956123505
2009-Jan-04 09:30:00,0.34027746782468804
2009-Jan-04 09:40:00,0.3370176353394002
2009-Jan-04 09:50:00,0.3336739750185636
2009-Jan-04 10:00:00,0.330298421060421
2009-Jan-04 10:10:00,0.32953059604664436
2009-Jan-04 10:20:00,0.32891595290927167
2009-Jan-04 10:30:00,0.32842075832888395
2009-Jan-04 10:40:00,0.327796055880018
2009-Jan-04 10:50:00,0.32717309717007187
2009-Jan-04 11:00:00,0.3266392727739409
2009-Jan-04 11:10:00,0.3253154249875007
2009-Jan-04 11:20:00,0.3238864931856278
2009-Jan-04 11:30:00,0.32221183300088635
2009-Jan-04 11:40:00,0.3204104438523437
2009-Jan-04 11:50:00,0.31871876717548103
2009-Jan-04 12:00:00,0.31705148548366824
2009-Jan-04 12:10:00,0.3145274151670294
2009-Jan-04 12:20:00,0.31131763347996194
2009-Jan-04 12:30:00,0.3083283838950639
2009-Jan-04 12:40:00,0.30587350483360226
2009-Jan-04 12:50:00,0.30370937633383505
2009-Jan-04 13:00:00,0.30156132340363373
2009-Jan-04 13:10:00,0.2989501709719585
2009-Jan-04 13:20:00,0.2972398385328924
2009-Jan-04 13:30:00,0.2955723602561757
2009-Jan-04 13:40:00,0.29351518299860724
2009-Jan-04 13:50:00,0.29116359105879336
2009-Jan-04 14:00:00,0.28874482282435204
2009-Jan-04 14:10:00,0.2890142947383665
2009-Jan-04 14:20:00,0.28891908373175296
2009-Jan-04 14:30:00,0.2884856804077717
2009-Jan-04 14:40:00,0.2880359142772292
2009-Jan-04 14:50:00,0.28769302341766273
2009-Jan-04 15:00:00,0.28741282755107256
2009-Jan-04 15:10:00,0.28843606463286087
2009-Jan-04 15:20:00,0.2891470741879032
2009-Jan-04 15:30:00,0.28957652194711825
2009-Jan-04 15:40:00,0.2899014545297374
2009-Jan-04 15:50:00,0.29022805584630046
2009-Jan-04 16:00:00,0.29056736748535605
2009-Jan-04 16:10:00,0.2911239257434777
2009-Jan-04 16:20:00,0.2916108724739272
2009-Jan-04 16:30:00,0.2920327071144839
2009-Jan-04 16:40:00,0.2924285227734115
2009-Jan-04 16:50:00,0.2928213270854759
2009-Jan-04 17:00:00,0.29321389814668886
2009-Jan-04 17:10:00,0.29151084974201397
2009-Jan-04 17:20:00,0.28883548687164695
2009-Jan-04 17:30:00,0.2863626660188449
2009-Jan-04 17:40:00,0.2845083077432235
2009-Jan-04 17:50:00,0.28308775700230704
2009-Jan-04 18:00:00,0.2817585813518651
2009-Jan-04 18:10:00,0.284011327268399
2009-Jan-04 18:20:00,0.28438701628128066
2009-Jan-04 18:30:00,0.28473677002771514
2009-Jan-04 18:40:00,0.2859820047677274
2009-Jan-04 18:50:00,0.28785830103851684
