Zone Timestep,THERMAL ZONE 1:Zone Air Temperature[C]
2009-Jan-03 23:30:00,13.88315342441962
2009-Jan-03 23:40:00,13.907580342516088
2009-Jan-03 23:50:00,13.929057002032726
2009-Jan-04 00:00:00,13.95018675788445
2009-Jan-04 00:10:00,13.95996098607328
2009-Jan-04 00:20:00,13.97106673509016
2009-Jan-04 00:30:00,13.964416935713125
2009-Jan-04 00:40:00,13.96368276440367
2009-Jan-04 00:50:00,13.977649871654169
2009-Jan-04 01:00:00,14.000101374027048
2009-Jan-04 01:10:00,13.947497243446575
2009-Jan-04 01:20:00,13.831817455482927
2009-Jan-04 01:30:00,13.701092790369573
2009-Jan-04 01:40:00,13.600878717706482
2009-Jan-04 01:50:00,13.50654124171166
2009-Jan-04 02:00:00,13.400510262265357
2009-Jan-04 02:10:00,13.359383439493232
2009-Jan-04 02:20:00,13.374853681144211
2009-Jan-04 02:30:00,13.405907168786594
2009-Jan-04 02:40:00,13.431967099685252
2009-Jan-04 02:50:00,13.45379544901181
2009-Jan-04 03:00:00,13.477073168858844
2009-Jan-04 03:10:00,13.487834078318096
2009-Jan-04 03:20:00,13.48836320901847
2009-Jan-04 03:30:00,13.487418938805085
2009-Jan-04 03:40:00,13.48950974900201
2009-Jan-04 03:50:00,13.494534680074098
2009-Jan-04 04:00:00,13.501314387134817
2009-Jan-04 04:10:00,13.484357104529096
2009-Jan-04 04:20:00,13.447500752022084
2009-Jan-04 04:30:00,13.405253475369118
2009-Jan-04 04:40:00,13.364907054798975
2009-Jan-04 04:50:00,13.326203517934239
2009-Jan-04 05:00:00,13.287082032560928
2009-Jan-04 05:10:00,13.254629587931502
2009-Jan-04 05:20:00,13.207537922377238
2009-Jan-04 05:30:00,13.145546151081197
2009-Jan-04 05:40:00,13.078808828908487
2009-Jan-04 05:50:00,13.013429632822305
2009-Jan-04 06:00:00,12.949578794610446
2009-Jan-04 06:10:00,13.198253032676089
2009-Jan-04 06:20:00,13.43362175581843
2009-Jan-04 06:30:00,13.514424974687731
2009-Jan-04 06:40:00,13.506078192474023
2009-Jan-04 06:50:00,13.495155432011172
2009-Jan-04 07:00:00,13.507271876881417
2009-Jan-04 07:10:00,13.624949222195541
2009-Jan-04 07:20:00,13.715659884272709
2009-Jan-04 07:30:00,13.735972874159481
2009-Jan-04 07:40:00,13.721329393190114
2009-Jan-04 07:50:00,13.707909019877253
2009-Jan-04 08:00:00,13.70398523774847
2009-Jan-04 08:10:00,14.201238923504825
2009-Jan-04 08:20:00,14.608859184251447
2009-Jan-04 08:30:00,14.635252892838908
2009-Jan-04 08:40:00,14.461694214703355
2009-Jan-04 08:50:00,14.292923887161635
2009-Jan-04 09:00:00,14.189383537507673
2009-Jan-04 09:10:00,14.190143123434757
2009-Jan-04 09:20:00,14.244592557878418
2009-Jan-04 09:30:00,14.301377998606183
2009-Jan-04 09:40:00,14.346608607032152
2009-Jan-04 09:50:00,14.387461297962828
2009-Jan-04 10:00:00,14.431023111507354
2009-Jan-04 10:10:00,14.4956925343424
2009-Jan-04 10:20:00,14.576827101874489
2009-Jan-04 10:30:00,14.640002420592975
2009-Jan-04 10:40:00,14.70336388042675
2009-Jan-04 10:50:00,14.779010535215981
2009-Jan-04 11:00:00,14.906551364382251
2009-Jan-04 11:10:00,15.019491890582751
2009-Jan-04 11:20:00,15.09834677240115
2009-Jan-04 11:30:00,15.159585996072453
2009-Jan-04 11:40:00,15.235958714140114
2009-Jan-04 11:50:00,15.315649696326874
2009-Jan-04 12:00:00,15.387564995039618
2009-Jan-04 12:10:00,15.364360588867166
2009-Jan-04 12:20:00,15.37161636569104
2009-Jan-04 12:30:00,15.452855977364996
2009-Jan-04 12:40:00,15.574331771631952
2009-Jan-04 12:50:00,15.69796928799658
2009-Jan-04 13:00:00,15.812240672808578
2009-Jan-04 13:10:00,16.05116621728181
2009-Jan-04 13:20:00,16.295771215569097
2009-Jan-04 13:30:00,16.485952634411515
2009-Jan-04 13:40:00,16.63487456322282
2009-Jan-04 13:50:00,16.774085488730975
2009-Jan-04 14:00:00,16.918736383983003
2009-Jan-04 14:10:00,17.012625573871578
2009-Jan-04 14:20:00,17.059413008527898
2009-Jan-04 14:30:00,17.103876480401105
2009-Jan-04 14:40:00,17.163174040349787
2009-Jan-04 14:50:00,17.231160722995035
2009-Jan-04 15:00:00,17.299522636657926
2009-Jan-04 15:10:00,17.324324401387116
2009-Jan-04 15:20:00,17.3099072731635
2009-Jan-04 15:30:00,17.280938467030353
2009-Jan-04 15:40:00,17.252187152094226
2009-Jan-04 15:50:00,17.225185029274375
2009-Jan-04 16:00:00,17.198764104095943
2009-Jan-04 16:10:00,17.16263138736685
2009-Jan-04 16:20:00,17.117424872894137
2009-Jan-04 16:30:00,17.06857192002029
2009-Jan-04 16:40:00,17.019262551743456
2009-Jan-04 16:50:00,16.969881735850954
2009-Jan-04 17:00:00,16.91971276434043
2009-Jan-04 17:10:00,16.73541374490477
2009-Jan-04 17:20:00,16.579477948006335
2009-Jan-04 17:30:00,16.509294611888787
2009-Jan-04 17:40:00,16.49925575011926
2009-Jan-04 17:50:00,16.502037151310248
2009-Jan-04 18:00:00,16.495731782515282
2009-Jan-04 18:10:00,16.23046522313451
2009-Jan-04 18:20:00,15.961600107709907
2009-Jan-04 18:30:00,15.816087840577659
2009-Jan-04 18:40:00,15.757393191339592
2009-Jan-04 18:50:00,15.715493788966922
2009-Jan-04 19:00:00,15.659825922757577
2009-Jan-04 19:10:00,15.62420060766441
2009-Jan-04 19:20:00,15.617042725303763
